Date,Destination,Miles,Hours,Minutes,Duration,Speed
6/6/20,CP BL,6.14,,37,0.62,9.96
6/7/20,To From Astoria,8.25,2,1,2.02,4.09
6/9/20,CP BL x 2,13.51,1,24,1.40,9.65
6/10/20,UWS to Inwood,22.06,2,58,2.97,7.44
6/14/20,Down Up LWS,13.63,1,29,1.48,9.19
6/15/20,Up Down WS to GWB,17.09,1,54,1.90,8.99
6/16/20,Down WS Up WS to GWB,26.63,3,8,3.13,8.50
6/18/20,Wards Island,11.93,1,38,1.63,7.30
6/21/20,Down Up Trio (Partial),14.20,2,32,2.53,5.61
6/22/20,West Side Errand,5.19,,42,0.70,7.41
6/22/20,Wards Island,11.57,1,30,1.50,7.71
6/23/20,UWS Thru CP to GWB+,22.42,2,54,2.90,7.73
6/25/20,Down Up LWS,14.57,2,11,2.18,6.67
6/27/20,Wards Island,13.80,1,49,1.82,7.60
6/28/20,Uptown Trio,3.95,,26,0.43,9.12
6/28/20,Downtown Trio,4.10,,34,0.57,7.24
6/29/20,Wards Island,11.71,1,52,1.87,6.27
6/30/20,Down Up LWS,14.95,1,48,1.80,8.31
7/3/20,Wards Island,12.98,1,46,1.77,7.35
7/5/20,UWS to GWB Down Thru CP,17.63,1,56,1.93,9.12
7/6/20,Down ES Up WS to GWB,27.90,3,45,3.75,7.44
7/11/20,Wards Island,13.25,1,40,1.67,7.95
7/13/20,Wards Island,13.59,1,43,1.72,7.92
7/14/20,Down Up LWS,14.34,1,41,1.68,8.52
7/15/20,CP BL,7.42,,45,0.75,9.89
7/16/20,Wards Island,12.80,1,36,1.60,8.00
7/18/20,CP ML,6.47,,36,0.60,10.78
7/22/20,Down Up LWS,14.82,1,47,1.78,8.31
7/25/20,Down Up LWS,14.47,1,43,1.72,8.43
7/26/20,Wards Island,12.67,1,35,1.58,8.00
7/28/20,CP BL,7.38,,52,0.87,8.52
7/29/20,Wards Island,12.55,1,43,1.72,7.31
7/30/20,Wards Island Astoria,18.28,2,31,2.52,7.26
8/1/20,Down Up LWS,14.71,1,27,1.45,10.14
8/3/20,Wards Island,12.50,1,45,1.75,7.14
8/6/20,Down ES Up WS to GWB,28.47,3,10,3.17,8.99
8/9/20,Down ES Up LWS,15.04,1,42,1.70,8.85
8/10/20,Wards Island,12.83,1,56,1.93,6.64
8/13/20,Down LWS Up LES,14.75,1,57,1.95,7.56
8/15/20,Wards Island,12.70,1,36,1.60,7.94
8/17/20,Up Dn UWS to GWB,16.93,1,54,1.90,8.91
8/20/20,Dn WS Up ES thru CP,16.91,2,10,2.17,7.80
8/22/20,Wards Island x 2,17.58,2,12,2.20,7.99
8/24/20,Dn WS Up ES,17.12,2,5,2.08,8.22
8/26/20,Dn ES Up WS,17.02,2,2,2.03,8.37
8/30/20,Wards Island x 2,17.56,2,7,2.12,8.30
9/3/20,Up WS to GWB Up ES,28.49,3,7,3.12,9.14
9/5/20,Wards Island x 2,17.72,2,0,2.00,8.86
9/6/20,Dn ES UP WS,17.30,1,55,1.92,9.03
9/7/20,Wards Island x 2,17.75,2,10,2.17,8.19
9/8/20,Up WS to GWB Up ES,28.17,3,14,3.23,8.71
9/12/20,Wards Island x 3,22.91,2,35,2.58,8.87
9/13/20,CP BL,7.51,0,42,0.70,10.73
9/14/20,Dn ES Up WS to GWB,27.71,3,2,3.03,9.14
9/17/20,Wards Island,12.70,1,33,1.55,8.19
9/19/20,Dn ES Up WS,17.21,1,59,1.98,8.68
9/22/20,Up Dn WS to GWB Up ES,28.57,2,56,2.93,9.74
9/24/20,Wards Island x 4,28.23,3,6,3.10,9.11
9/26/20,Up Dn WS to GWB Up ES,29.69,3,10,3.17,9.38
9/28/20,Wards Island x 2,17.69,2,1,2.02,8.77
9/30/20,Dn ES Up WS,19.83,2,10,2.17,9.15
10/8/20,Wards Island x 2,17.71,2,7,2.12,8.37
10/19/20,Wards Island x 2,18.06,2,14,2.23,8.09
10/22/20,Wards Island,12.42,1,40,1.67,7.45
11/4/20,CP BL,7.81,0,51,0.85,9.19
11/5/20,Dn UWS Up ES,21.25,2,36,2.60,8.17
11/7/20,Wards Island x 2,17.75,2,1,2.02,8.80
11/9/20,Dn ES Up WS,17.70,2,3,2.05,8.63
11/11/20,Dn ES Up LWS,14.81,1,40,1.67,8.89
11/16/20,Up Dn UWS,9.55,1,10,1.17,8.19
11/27/20,Wards Island x 2 Astoria,22.87,2,48,2.80,8.17
12/3/20,To Artie's in Brooklyn and Back,27.16,3,51,3.85,7.05
12/11/20,Dn ES Up WS,21.60,2,36,2.60,8.31
12/24/20,Dn ES Up LWS,13.79,1,41,1.68,8.19
12/28/20,To Trek WS,4.98,,40,0.67,7.47
12/29/20,From Trek WS,3.75,,26,0.43,8.65
1/17/21,Dn ES Up LWS,15.41,2,2,2.03,7.58
2/24/21,Dn ES Up LWS,14.65,1,54,1.90,7.71
3/9/21,Dn ES Up LWS,15.90,2,20,2.33,6.81
3/21/21,Dn ES Up LWS,15.74,2,1,2.02,7.80
3/27/21,Dn ES Up UWS to 135,25.17,3,6,3.10,8.12
4/6/21,Wards Island,12.59,1,47,1.78,7.06
4/8/21,Wards Island,13.25,1,44,1.73,7.64
4/14/21,Dn ES Up LWS,15.84,1,55,1.92,8.26
4/18/21,Dn ES Up LWS,16.25,2,5,2.08,7.80
4/23/21,Wards Island,13.05,1,38,1.63,7.99
4/26/21,Dn UWS Up ES,20.85,2,34,2.57,8.12
