Date,Destination,Miles,Hours,Minutes,Duration,Speed,Type
9/15/19,Roosevelt Island,6.24,1.0,6.0,1.1,5.67,Specialized
6/18/20,Wards Island,11.93,1.0,38.0,1.63,7.3,Specialized
4/6/20,CP BL,8.88,1.0,17.0,1.28,6.92,Specialized
6/7/20,To From Astoria,8.25,2.0,1.0,2.02,4.09,Specialized
12/3/20,To Artie's in Brooklyn and Back,27.16,3.0,51.0,3.85,7.05,Specialized
9/8/16,Citibike to Work,1.05,,11.0,0.18,5.73,Citibike
6/28/20,Downtown Trio,4.1,,34.0,0.57,7.24,Specialized
4/7/20,CP BL x 2,13.98,1.0,43.0,1.72,8.14,Specialized
8/25/16,Citibike to Work,1.18,,10.0,0.17,7.08,Citibike
6/4/19,To Essex Market,3.51,,35.0,0.58,6.02,Citibike
7/18/20,CP ML,6.47,,36.0,0.6,10.78,Specialized
6/29/16,Citibike to Work,1.16,,10.0,0.17,6.96,Citibike
8/31/19,Up UWS Down WS Up ES,21.56,2.0,25.0,2.42,8.92,Specialized
