Date,Destination,Miles,Hours,Minutes,Duration,Speed
11/17/16,Citibike to Work,1.20,,12,0.20,6.00
11/17/16,Citibike from Work,0.79,,7,0.12,6.77
11/18/16,Citibike from Work,0.84,,7,0.12,7.20
11/28/16,Citibike to Work,1.15,,11,0.18,6.27
11/28/16,Citibike from Work,0.81,,7,0.12,6.94
12/2/16,Citibike to Work,1.17,,11,0.18,6.38
12/2/16,Citibike from Work,0.92,,7,0.12,7.89
1/13/17,Citibike to Work,1.18,,14,0.23,5.06
1/13/17,Citibike from Work,1.01,,8,0.13,7.58
6/4/19,To Essex Market,3.51,,35,0.58,6.02
7/26/19,To Essex Market,3.14,,27,0.45,6.98
8/8/19,To Zabars,2.29,,19,0.32,7.23
9/9/19,To Essex Market,3.71,,31,0.52,7.18
9/16/19,From Pier 11,5.91,,49,0.82,7.24
3/12/20,To Essex Market,3.85,,35,0.58,6.60
3/20/20,To Despana,3.50,,30,0.50,7.00
3/20/20,From Despana,4.28,,40,0.67,6.42
5/4/20,To Zabars,2.20,,15,0.25,8.80
5/4/20,From Fairway,2.43,,21,0.35,6.94
6/8/20,To Despana,3.64,,35,0.58,6.24
6/8/20,From Warehouse Wines,2.83,,31,0.52,5.48
7/8/20,To Citarella,1.08,,9,0.15,7.20
7/8/20,From Citarella,1.18,,13,0.22,5.45
7/24/20,To Zabars,2.07,,16,0.27,7.76
7/24/20,From Zabars,2.62,,20,0.33,7.86
7/31/20,To Herald Square,2.65,,19,0.32,8.37
7/31/20,From Herald Square,2.85,,25,0.42,6.84
8/3/20,To Kalustiyans,1.96,,16,0.27,7.35
8/3/20,From Kalustyans,2.55,,24,0.40,6.38
8/28/20,To Marimekko,2.67,,21,0.35,7.63
8/28/20,To Fogo de Chao,1.65,,13,0.22,7.62
8/31/20,To Marimekko,2.60,,21,0.35,7.43
8/31/20,From Marimekko,2.77,,23,0.38,7.23
9/4/20,To Astor Wines,2.92,,25,0.42,7.01
9/4/20,From Astor Wines,3.72,,31,0.52,7.20
9/25/20,To Fairway ES,1.56,,14,0.23,6.69
12/27/20,To Zabars,2.30,,21,0.35,6.57
12/27/20,From Zabars,1.75,,15,0.25,7.00
12/29/20,To Trek WS,3.39,,19,0.32,10.71
3/26/21,To El Tepeyac,3.10,,28,0.47,6.64
